"Avgiftskategori","mean","sd","n"
"Befintliga personuppgifter, 5000",49.2056451612903,29.2041944730331,744
"En forskningshuvudman, 5000",54.1934673366834,30.4575047032236,1592
"Flera forskningshuvudmän, 16000",58.4939759036145,33.8002594553341,166
"Flera forskningshuvudmän, samband 5000",59.0100502512563,34.2390570809922,199
"Läkemedelsprövning, 16000",58.8059701492537,30.9460363242064,201
"Medicinteknik 70.7a",35.7142857142857,25.6431555891904,7
"Medicinteknik 70.7b",43,NA,1
"Medicinteknik 74.1",23.25,10.5275328243811,20
"Medicinteknik ändring",23.5,4.79583152331272,4
"Ändringsansökan, 2000",32.6866710875332,21.6648748143693,3016
